"source","text","fr"
"mad_config.py","Madagascar <br> Public Health Surveillance","Madagascar <br /> Surveillance Integrée de la Santé Publique"
"mad_config.py","<b>Madagascar </b> &middot; Public Health Surveillance","<b>Madagascar </b> &middot; Surveillance de la Santé Publique"
"mad_config.py","Madagascar Public Health Surveillance","Madagascar Surveillance de la Santé Publique"
"mad_config.py","Public Health Surveillance","Surveillance de la Santé Publique"
"mad_config.py","The World Health Organisation","Organisation Mondiale de la Santé"
"mad_config.py","The Ministry of Health, Madagascar","Ministère de la Santé, Madagascar"
"mad_config.py","Direction of Health Monitoring and Disease Surveillance (DVSSE)","Direction de la Veille Sanitaire et de la Surveillance Epidémiologique (DVSSE)"
"mad_config.py","Dashboard","Tableau de bord"
"mad_config.py","Reports","Rapports"
"mad_config.py","Notifications","Notifications"
"mad_config.py","Explore","Explorer"
"mad_config.py","Download","Télécharger"
"mad_config.py","Log out","Se déconnecter"
"mad_technical.json","Demographics","Démographie"
"mad_technical.json","Communicable Diseases","Maladies transmissibles"
"mad_technical.json","Alerts","Alertes"
"mad_technical.json","Completeness","Complétude"
"mad_technical.json","Map View","Carte"
"data_types.csv","Outbreak Investigation","Investigation de l’épidémie"
"mad_reports.json","<strong>Directorate of Health Monitoring and Surveillance</strong><br />Ministry of Health<br /> Antananarivo<br />Madagascar<br /><abbr title='Website'>W:</abbr> <a href='https://dvsse.sante.gov.mg'>https://dvsse.sante.gov.mg</a>","<strong>Direction de la Veille Sanitaire et de la Surveillance Epidémiologique (DVSSE)</strong><br />Ministère de la Santé Publique<br /> Antananarivo<br />Madagascar<br /><abbr title='Website'>W:</abbr> <a href='https://dvsse.sante.gov.mg'>https://dvsse.sante.gov.mg</a>"
"mad_reports.json","Communicable Disease Profile Report","Profil de la Santé publique"
"mad_reports.json","Communicable Disease Report","Rapport des Maladies Transmissibles"
"mad_reports.json","Epidemiological Monitoring Report","Rapport de Surveillance Epidémiologique Hebdomadaire"
"mad_reports.json","Malaria Epidemiological Surveillance Report","Rapport de Surveillance Épidémiologique du Paludisme"
"mad_homepage.json","Region","Région"
"mad_homepage.json","Overview","Aperçu"
"mad_homepage.json","<p>Madagascar is implementing an integrated, electronic public health surveillance system. The system is case-based and integrated and employs mobile information technology to aid collection of real-time, standardised data to inform and improve decision-making at different levels of the health system.<p>Information is made available within one hour via an online framework with automated generation of SMS and email alerts and support for mapping and reporting, that is accessed at all levels of the Ministry of Health.</p>","<p>Madagascar met en œuvre un système électronique intégré de la santé publique surveillance. Le système est intégré et basé sur des cas et emploie la technologie mobile de l'information pour faciliter la collecte en temps réel, des données normalisées pour informer et améliorer la prise de décision à différents niveaux du système de santé.<p>L'information est mise à disposition dans l'heure par l'intermédiaire d'un cadre en ligne avec la génération automatique des alertes SMS et e-mail et le soutien pour la cartographie et l'information, qui est accessible à tous les niveaux du ministère de la Santé.</p>"
"mad_homepage.json","Indicators","Indicateurs"
"mad_homepage.json","Reports","Rapports"
"mad_homepage.json","<p class='reports-button'><a type='button' class='btn btn-lg btn-default ' href='reports/public_health' target='_blank'>Public Health<br/>Profile</a><a type='button' class='btn btn-lg btn-default ' href='reports/communicable_diseases' target='_blank'>Communicable Disease<br/>Report</a><a type='button' class='btn btn-lg btn-default ' href='reports/epi_monitoring' target='_blank'>Epidemiological<br/>Monitoring Report</a></p>","<p class='reports-button'><a type='button' class='btn btn-lg btn-default ' href='reports/public_health' target='_blank'>Profil de la <br> Santé publique</a><a type='button' class='btn btn-lg btn-default ' href='reports/communicable_diseases' target='_blank'>Rapport des Maladies<br> Transmissibles</a><a type='button' class='btn btn-lg btn-default ' href='reports/epi_monitoring' target='_blank'>Rapport de Surveillance<br> Epidémiologique Hebdomadaire</a></p>"
"mad_homepage.json","Principles","Principes"
"mad_homepage.json","<p>The project has the following principles of implementation (click to expand):</p>","<p>Le projet comporte les principes suivants de mise en œuvre (cliquez pour agrandir):</p>"
"mad_homepage.json","1. Routine surveillance","1. Surveillance de routine"
"mad_homepage.json","The project supports routine surveillance to ensure the national health system is strengthened and the capacity of the Ministry of Health is developed for long-term ownership and response.","Le projet va renforcer la surveillance de routine pour assurer que le système de santé national est renforcé sur sa capacité de développer la réponse et l’appropriation à long terme."
"mad_homepage.json","2. Integrated, case based disease surveillance","2. Surveillance intégrée des maladies"
"mad_homepage.json","The project builds on existing national and international surveillance standards, guidelines and case definitions. Diseases, conditions and events are coded according to the International Classification of Disease (ICD-10).","Le projet est développé à partir du guide de surveillance international standard de de l’OMS et de la définition de cas pour les maladies qui sont codées selon la Classification International des maladies (ICD10)."
"mad_homepage.json","3. Clinical-decision support","3. Support à la décision clinique"
"mad_homepage.json","The system includes evidence-based clinical algorithms for integrated management of childhood illness (IMCI) for child health to support and improve the provision of clinical care.","Le système a des algorithmes basé sur l’évidence permettant de standardiser la définition des cas, qui aide à la décision clinique pour chaque maladie avec les signes et symptômes, les facteurs de risque, les diagnostics et des conseils en matière de laboratoire."
"mad_homepage.json","4. Alerts and notifications","4. Notifications et alertes"
"mad_homepage.json","Automated real-time notifications and alerts are generated for 20 notifiable communicable diseases, by SMS and email, within one hour of reporting to inform outbreak investigation and response at the appropriate level of decision-making. A line list of alerts is automatically generated via the online framework which links subsequent alert investigation and outcomes.","Des alertes et notifications automatiques en temps réels sont envoyées par SMS et par email, dans un délai d’une heure après l’envoi pour informer puis pour déclencher l’investigation et la réponse du Ministère de la santé avec une prise de décision du niveau concerné.  "
"mad_homepage.json","5. Real-time analysis and reporting","5. Collection et gestion des données"
"mad_homepage.json","The system shares structured, anonymised data via an online framework for geospatial data visualisation, generation of alerts, and automated generation of reports.","Le système partage des données anonymes et structurées par un système en ligne avec une représentation géospatial des données, donner des alertes et élaborer des rapports de façon automatique."
"mad_homepage.json","Acknowledgements","Remerciements"
"mad_homepage.json","We gratefully acknowledge the support of <br> our partners in the development of this project.","Nous tenons à remercier le soutien de <br> nos partenaires dans le développement de ce projet "
"mad_explore.json","Communicable Diseases","Maladies transmissibles"
"mad_explore.json","Gender","Sexe"
"mad_explore.json","Age","Âge"
"mad_explore.json","Age and Gender","Âge et le sexe"
"mad_explore.json","Regions","Régions"
"mad_explore.json","Districts","Districts"
"mad_explore.json","Clinics","Sites de surveillance"
"mad_download.json","Communicable Disease","Maladies transmissibles"
"mad_download.json","Nutrition","Nutrition"
"mad_download.json","Vaccination","Vaccination"
"mad_download.json","Public Health","Santé publique"
"mad_download.json","Case Report","Reporting de cas"
"mad_download.json","Alert","Alerte"
"mad_download.json","Register","Consultations Journaliers"
"mad_download.json","Visit Type","Type de visite"
"mad_download.json","Visit Date","Date de visite"
"mad_download.json","Region","Région"
"mad_download.json","District","District"
"mad_download.json","Clinic","Clinique"
"mad_download.json","Status","Statut"
"mad_download.json","Gender","Sexe"
"mad_download.json","Age (Years)","Age (Années)"
"mad_download.json","Age (Months)","Age (mois)"
"mad_download.json","Nationality","Nationalité"
"mad_download.json","Name","Nom"
"mad_download.json","ICD 10 Code","CIM 10 Code"
"mad_download.json","Alert Investigation Steps","Alerte étapes d'enquête"
"mad_download.json","Signal Events","Signal Events"
"mad_download.json","Check if the patient has any of the following symptoms","Vérifiez si le patient présente l'un des symptômes suivants"
"mad_download.json","Check if the patient has any of the following risk factors","Vérifiez si le patient présente l'un des facteurs de risque suivants"
"mad_download.json","Onset Date","Date début"
"mad_download.json","Previously Vaccinated","Deja vaccinés"
"mad_download.json","Date of onset of AFP paralysis","Date de début de la paralysie PFA"
"mad_download.json","Date of polio first dose","Date de la première dose polio"
"mad_download.json","Date of polio second dose","Date de la deuxième dose polio"
"mad_download.json","Date of AFP notification","Date de notification PFA"
"mad_download.json","Date of AFP investigation","Date de l'enquête PFA"
"mad_download.json","Date of previous measles vaccination","Date de précédente vaccination contre la rougeole"
"mad_download.json","Date of measles sample collection","Date de la rougeole collecte d'échantillons"
"mad_download.json","Malaria patient has fever","Paludisme Patient a de la fièvre"
"mad_download.json","Malaria RDT result","Résultat paludisme TDR"
