governorate,facility_name,facility_type,lat,lng
Amman,Eskan Abu-Nsseir Al-Shamel Al-Tadribi,Comprehensive,35.88175,32.05271
Amman,Wadi El-Seer,Comprehensive,35.82701,31.95508
Amman,Marj Al-Hamam,Comprehensive,35.84222,31.89901
Amman,Al-Nasser,Comprehensive,35.96715,31.95226
Amman,Na'our,Comprehensive,35.8268,31.87863
Amman,Jabal Al-Jofeh,Comprehensive,35.9472,31.95077
Amman,  Amman Al-Shameli   (Shmeisani),Comprehensive,35.90981667,31.9741
Amman,Al-Amira Basma (Ra'ss Al-Ayn),Comprehensive,35.91304,31.94839
Amman,Al-Weibdeh Al-Sharqi,Comprehensive,35.92668,31.95516
Amman,Sweileh,Comprehensive,35.83792,32.01711
Amman,Al-Hashimi Al-Shamali,Comprehensive,35.95465,31.96934
Amman,Marka  Al-Shamel,Comprehensive,35.97411537,31.97364224
Amman,Albasheer Hospital,Hospital,35.94304,31.93764
Amman,Prince Hamza hospital,Hospital,35.938001,31.984036
Amman,Jamil Totanji Hospital,Hospital,35.9978,31.85389
Amman,Sahab,Comprehensive,36.00154,31.87189
Amman,Al-Jeeza,Comprehensive,35.9567,31.70293333
Amman,Natel,Comprehensive,35.86419,31.64985
Amman,Khreibat Al-Souq,Comprehensive,35.9292,31.87043
Amman,Al-Qweismeh,Comprehensive,35.95147,31.925
Amman,Al-Muagar,Comprehensive,36.10008,31.81469
Amman,Correctional Facility Al Swaga,Clinic,,
Amman,Correctional Facility Al Jwaydeh,Clinic,,
Amman,Correctional Facility Al Jwaydeh- Females,Clinic,,
Amman,Correctional Facility Marka,Clinic,,
Amman,Correctional Facility Al Mwagar 1,Clinic,,
Amman,Correctional Facility Al Mwagar 2,Clinic,,
Amman,National Addiction Center,Hospital,35.90160514,32.0471309
Amman,National Center for Mental Health,Hospital,,
Amman,Istishariah Clinic,Clinic,,
Amman,Correctional Facility Al Swaga,Clinic,,
Amman,Correctional Facility Al Jwaydeh,Clinic,,
Amman,Correctional Facility Al Jwaydeh- Females,Clinic,,
Amman,Correctional Facility Marka,Clinic,,
Amman,Correctional Facility Al Mwagar 1,Clinic,,
Amman,Correctional Facility Al Mwagar 2,Clinic,,
Karak,Correctional Facility Al Karak,Clinic,,
Balqa,Alkaramah Hospital,Hospital,35.80862938,31.88290919
Balqa,Correctional Facility Al Rumemeen,Clinic,,
Balqa,Correctional Facility Al Salt,clinic,,
Irbid,Correctional Facility Irbid,clinic,,
Irbid,Correctional Facility Um El Lolo -Females,clinic,,
Mafraq,Correctional Facility Al Mafraq,Clinic,,
Madaba,Madaba Al-Sharqy,Comprehensive,35.79781911,31.71521676
Madaba,Lub,Comprehensive,35.76388044,31.60515894
Madaba,Theeban Al-Shamel,Comprehensive,35.78095412,31.499237
Madaba,Shamal Madaba,Comprehensive,35.79397096,31.74761045
Madaba,Al-‘Areed,Comprehensive,35.65627186,31.55033275
Madaba,Al Nadeem Governmental Hospital (Madaba),Hospital,35.77770915,31.71650445
Madaba,Princess Salma Hospital (Theeban),Hospital,35.79209468,31.50685761
Madaba,Al-Areesh,Primary,35.78108854,31.7850621
Madaba,Al-Areed,Primary,35.65627186,31.55033275
Madaba,Dalilah Al-Hamaideh,Primary,35.792875,31.622734
Madaba,Mukhayam Madaba,Primary,35.78646057,31.71107422
Madaba,Maleeh,Primary,35.80693033,31.58438108
Madaba,Madaba Al-Gharby,Primary,35.79067518,31.71619403
Zarqa,Al-Azraq Al-Shamel,Comprehensive,36.81617,31.85132
Zarqa,Isskan Al-Hashimieh,Comprehensive,36.13067,32.1323
Zarqa,Hai Al-Rasheed,Comprehensive,36.01907,32.02944
Zarqa,Al-Msheirfeh Al-Shamel,Comprehensive,36.01797,32.01361
Zarqa,Bereen,Comprehensive,35.96006,32.09415
Zarqa,(Al Zwahreh Al Shamel) Prince Hamza Quarter,Comprehensive,36.06976,32.04976
Zarqa,Wadi Al-Hajar,Comprehensive,36.08678,32.05347
Zarqa,Al-Dleil,Comprehensive,36.26502,32.12035
Zarqa,AL-AMRYA,Comprehensive,36.051092,32.013915
Zarqa,Shbeeb,Primary,36.08259,32.06381
Zarqa,Al-Zawahreh,Primary,36.06969,32.06612
Zarqa,Hai Al-Ameer Abdullah,Primary,36.0971,32.07313
Zarqa,Jabal Al-Amir Faisal,Primary,36.00444,32.00887
Zarqa,Al-Rousifeh Al-Shamali,Primary,36.04346,32.0235
Zarqa,Al-Hashimieh/ Zarqa,Primary,36.11509,32.13519
Zarqa,Abu-Al-Zeighan/ Zarqa,Primary,36.04528333,32.13488333
Zarqa,Jabal Tareq,Primary,36.09962,32.03845
Zarqa,Al-Zarka Al-Jadidah,Primary,36.09305,32.0883
Zarqa,Al-Sukhna,Primary,36.06986,32.13062
Zarqa,Isskan Al-Amir Talal,Primary,35.71906,32.04462
Zarqa,Zarqa Governmental Hospital,Hospital,36.08927,32.07158
Zarqa,Prince Faisal Hospital,Hospital,36.04604,32.03307
Zarqa,Correctional Facility Al Zarqa,Clinic,,
Balqa,Al-Mudari,Comprehensive,35.77302,32.07886
Balqa,Al-Bqei'e/ Balqa,Comprehensive,35.7108,32.03982
Balqa,Al-Fuheiss,Comprehensive,35.771,32.00036
Balqa,Al-Sbeihi,Comprehensive,35.70758,32.14619
Balqa,Zay,Comprehensive,35.72597,32.10455
Balqa,Ain Al-Basha,Comprehensive,35.83302,32.05801
Balqa,Al Hussein hospital,Hospital,35.734836,32.035438
Balqa,Prince Hussein Bin Abdullah,Hospital,35.84131972,32.09072665
Balqa,Princess Iman Hospital,Hospital,35.6154086,32.1524935
Balqa,Mahess,Primary,35.76692,31.99681
